Tier,Revenue,Status,Handle,Title,VariantCount,OptionNames,RepSKU,AllSKUs,ProbableManufacturer,ManufacturerWebsite,URL1,URL2,RawPaste,Notes
D,0,active,ergo-boss-multi-tilter-chair-2,Ergo Boss™ Multi-Tilter Chair,3,Back Height Options,GLB2869-3G6,GLB2869-3G6; GLB2872-3G6; GLB2874-3G6,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,shoptech-081,Shoptech 081,1,,HZN-081,HZN-081,Horizon Seating,https://horizonseating.com/,,,,
D,0,active,shoptech-2300-pc775,Shoptech 2300–PC775,1,,hzn2300–PC775,hzn2300–PC775,Horizon Seating,https://horizonseating.com/,,,,
D,0,active,teknion-seating,Teknion Seating,1,,,,,,,,,
D,0,active,teknion-boardroom,"Teknion ""Boardroom""",1,,,,,,,,,
D,0,active,teknion-byward,"Teknion ""Byward""",1,,,,,,,,,
D,0,active,teknion-expansion,Teknion Expansion,1,,,,,,,,,
D,0,active,the-corby-collection,The Corby Collection,1,,GLB-Corby,GLB-Corby,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,installation1000,Installation1000,1,,Installation1000,Installation1000,,,,,,
D,0,active,l-shape-desk-8-sizes-9-colour-options,L-Shape Desk (8 Sizes & 9 Colour options),8,Size Option (WxD) (Desk + Return),HDLINV3060DS-INV2430RS-INVHPF,HDLINV3060DS-INV2430RS-INVHPF; HDLINV3060DS-INV2436RS-INVHPF; HDLINV3060DS-INV2442RS-INVHPF; HDLINV3066DS-INV2436RS-INVHPF; HDLINV3066DS-INV2442RS-INVHPF; HDLINV3066DS-INV2448RS-INVHPF; HDLINV3072DS-INV2442RS-INVHPF; HDLINV3072DS-INV2448RS-INVHPF,Heartwood (Innovation line),https://www.heartwooddl.com/products/innovation,,,,
D,0,active,installation475,Installation475,1,,Installation475,Installation475,,,,,,
D,0,active,l-shape-desk-8-sizes-9-colour-options-2,L-Shape Desk (8 Sizes & 9 Colour options),8,Size Option (WxD) (Desk + Return),HDLINV3060DS-INV2430RS-INVFPUF-FPFF,HDLINV3060DS-INV2430RS-INVFPUF-FPFF; HDLINV3060DS-INV2436RS-INVFPUF-FPFF; HDLINV3060DS-INV2442RS-INVFPUF-FPFF; HDLINV3066DS-INV2436RS-INVFPUF-FPFF; HDLINV3066DS-INV2442RS-INVFPUF-FPFF; HDLINV3066DS-INV2448RS-INVFPUF-FPFF; HDLINV3072DS-INV2442RS-INVFPUF-FPFF; HDLINV3072DS-INV2448RS-INVFPUF-FPFF,Heartwood (Innovation line),https://www.heartwooddl.com/products/innovation,,,,
D,0,active,tucana-elite-training-nesting-tables,Tucana Elite Training Nesting Tables,3,Size Options,HDL TU-98B-2448TBL,HDL TU-98B-2448TBL; HDL-TU-98B-2460TBL; HDL-TU-98B-2472TBL,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
D,0,active,4-drawer-legal-width-vertical-file,4 Drawer Legal Width Vertical File,1,,GLB-MVL25451,GLB-MVL25451,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,management-u-shaped-suite-with-3-stage-height-adjustable-table,"Management ""U"" Shaped Suite with 3-Stage Height Adjustable Table",1,,GLO-NLP417,GLO-NLP417,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,l-shaped-desk-with-single-pedestal-60w-x-72d,"""L"" Shaped Desk with Single Pedestal - 60""W x 72""D",1,,GLO-NLP524,GLO-NLP524,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,anda-seat-phantom-king-gaming-style-office-chair,Anda Seat Phantom King Gaming Style Office Chair,1,,SYNN-AD18XL-58-B-PVC,SYNN-AD18XL-58-B-PVC,unknown,,,,,
D,0,active,student-desk-carol-single-double-sided,Student Desk Carol Single & Double Sided,6,Sizes; Single or Double Sided,OFGO CR362447-SU-WW,OFGO CR362447-SU-WW; OFGO CR362447-DU-WW,Offices to Go,https://www.officestogo.com/,,,,
D,0,active,workway-planters,WORKWAY Planters,20,"Size Options (Width) All planters are 12"" Deep; Height",OFGO WW181235-PLNT-BCBC,OFGO WW181235-PLNT-BCBC; OFGO- WW181241-PLNT-BCBC; OFGO WW241235-PLNT-BCBC; OFGO- WW241241-PLNT-BCBC; OFGO WW301235-PLNT-BCBC; OFGO- WW301241-PLNT-BCBC; OFGO WW361235-PLNT-BCBC; OFGO- WW361241-PLNT-BCBC; OFGO WW421235-PLNT-BCBC; OFGO- WW421241-PLNT-BCBC; ...+10 more,Offices to Go,https://www.officestogo.com/,,,,
D,0,active,taper-leg-table,Taper Leg Table,5,Table Size,HDL-INV-2436TBL-TAPER,HDL-INV-2436TBL-TAPER; HDL-INV-2448TBL-LOOP; HDL-INV-3060TBL-LOOP; HDL-INV-3066TBL-TAPER; HDL-INV-3072TBL-TAPER,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
D,0,active,storage-right-ff-sc-left-wardrobe,STORAGE / RIGHT FF & SC / LEFT WARDROBE,1,,UN3072FF/SC/WD/21,UN3072FF/SC/WD/21,IOF Union series,https://iof-products.com/,,,,
D,0,active,sidero-tablet-arm,Sidero Tablet Arm,1,,GLO-6900CTL,GLO-6900CTL,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,aeramax-air-purifier-true-hepa-plasmatrue-1,"AeraMax® Air Purifier - True HEPA, PlasmaTrue",2,Coverage,FEL9320401,FEL9320401,Fellowes,https://www.fellowes.com/,,,,
D,0,active,coffee-table-seating,Coffee Table & Seating,1,,GLO-ML35SCDK,GLO-ML35SCDK,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,ranger-steel-4-post-table-42-w-x-30-d-with-drawer-safco,Ranger Steel 4-Post Table 42”W x 30”D with Drawer SAFCO,1,,SAF7732A (DIRECT),SAF7732A (DIRECT),Safco Products,https://www.safcoproducts.com/,,,,
D,0,active,ranger-steel-4-post-table-42-w-x-30-d,Ranger Steel 4-Post Table 42”W x 30”D,1,,SAF7732 (DIRECT),SAF7732 (DIRECT),Safco Products,https://www.safcoproducts.com/,,,,
D,0,active,untethered-go-further-go-anywhere-by-teknion,"Untethered: go further, go anywhere by: Teknion",1,,Teknion-Call Tek Rep,Teknion-Call Tek Rep,,,,,,
D,0,active,drafting-table-safco-vista-drawing-table,Drafting Table Safco Vista Drawing Table,1,,SAF-SAF3960-3951,SAF-SAF3960-3951,Safco Products,https://www.safcoproducts.com/,,,,
D,0,active,drafting-table,Drafting Table,1,,IOF-Q000111061,IOF-Q000111061,IOF Laminated Products,https://iof-products.com/,,,,
D,0,active,credenza-60x20,"Credenza 60""x20""",1,,IOF-Typical #W-066,IOF-Typical #W-066,IOF Laminated Products,https://iof-products.com/,,,,
D,0,active,folding-table-36-bt36-resin,"Folding Table 36"" BT36 Resin",1,,OSP-BT36,OSP-BT36,Office Star Products,https://www.officestar.net/,,,,
D,0,active,gc-comet-bariatric-stacking-armchair-gc2180-1,GC Comet™ Bariatric Stacking Armchair (GC2180),1,,GLB GC2180,GLB GC2180,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,nourish-high-back-bariatric-patient-chair-gc3685-1,Nourish™ High Back Bariatric Patient Chair (GC3685),1,,GLB-GC3685,GLB-GC3685,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,sonoma,Sonoma,1,,Sanoma,Sanoma,,,,,,
D,0,active,teknion-zones,Teknion Zones,1,,,,,,,,,
D,0,active,boulevard-system-3,Boulevard System 3,1,,,,,,,,,
D,0,active,student-desk,Student Desk,1,,DSQ1824OAKBLK,DSQ1824OAKBLK,,,,,,
D,0,active,round-table-29-high,"Round Table 29"" High",2,Please Select Diameter,HDL-R36RT900CROSS30,HDL-R36RT900CROSS30; HDL-R42RT900CROSS30,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
D,0,active,recycled-plastic-picnic-tables,Recycled Plastic Picnic Tables,1,,scn-nd426,scn-nd426,unknown,,,,,
D,0,active,end-table-glass-top,End Table Glass Top,1,,OSP-MG0922S-NB,OSP-MG0922S-NB,Office Star Products,https://www.officestar.net/,,,,
D,0,active,round-table-glass-top-1,Round Table Glass Top,1,,OSP-MG0920R-NB,OSP-MG0920R-NB,Office Star Products,https://www.officestar.net/,,,,
D,0,active,round-table-glass-top,Round Table Glass Top,1,,OSP-MG1230R-NB,OSP-MG1230R-NB,Office Star Products,https://www.officestar.net/,,,,
D,0,active,coffee-table-chrome,Coffee Table Chrome,3,Colour Options,OSP-WST12WH,OSP-WST12WH; OSP-WST12BLK; OSP-WST12ESPRESS,Office Star Products,https://www.officestar.net/,,,,
D,0,active,end-table-chrome,End Table Chrome,3,Colour Options,OSP-WST09-WH,OSP-WST09-WH; OSP-WST09-BK; OSP-WST09 ESPRESSO,Office Star Products,https://www.officestar.net/,,,,
D,0,active,reception-unit-72x72,"L shape Reception Unit 72""x72"" 15B",1,,HDL-Layout # 15,HDL-Layout # 15,Heartwood Manufacturing (HDL),https://www.heartwooddl.com/,,,,
D,0,active,teknion-glass-walls,Teknion Glass Walls,1,,,,,,,,,
D,0,active,lumi-high-back-synchro-tilter-chair,Lumi | High Back Synchro-Tilter Chair,1,,GLO-OTG11357,GLO-OTG11357,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,keyboard-tray-multi-adjustable,Keyboard Tray Multi Adjustable,1,,HZN-ECA EB02,HZN-ECA EB02,Horizon Seating,https://horizonseating.com/,,,,
D,0,active,ibex-mesh-seat-back-drafting-chair-stool-1,Ibex | Mesh Seat & Back Drafting Chair Stool,1,,,,,,,,,
D,0,active,bar-height-table,Bar Height Table,18,Base Shape; Base Colour; Top Sizes,900-SQU20BARSIL-INVSQ24,900-SQU20BARSIL-INVSQ24; 900-SQU20BARSIL-INVSQ36; 900-SQU20BARSIL-INVSQ48; 900-SQU20BARBLK-INVSQ24; 900-SQU20BARBLK-INVSQ36; 900-SQU20BARBLK-INVSQ48; 900-SQU20BARWHITE-INVSQ24; 900-SQU20BARWH-INVSQ36; 900-SQU20BARWH-INVSQ48; 900-ROU20BARSIL-INVR24; ...+8 more,,,,,,
D,0,active,vesta-power-tower,Vesta Power Tower,1,,GLO-PPVST3WF,GLO-PPVST3WF,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,indoor-planter,Indoor Planter,1,,WS48-PLANTER/B,WS48-PLANTER/B,Workspace (unknown sub-brand),,,,,
D,0,active,management-l-shaped-suite-66w-x-72d,"MANAGEMENT ""L"" SHAPED SUITE - 66""W X 72""D",1,,GLB NLP234,GLB NLP234,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,table-desk-13-colour-options,Table Desk 13 Colour options,1,,NLP224 WCR,NLP224 WCR,Offices to Go (Newland Panels),https://www.officestogo.com/,,,,
D,0,active,desk-l-shape-with-drawers,Desk L-Shape with Drawers,1,,,,,,,,,
D,0,active,desk-single-pedestal-1,NEWLAND | DOUBLE PEDESTAL DESK,3,Size,GLO-NL6030D-NL23HBF-NL23HBF,GLO-NL6030D-NL23HBF-NL23HBF; GLO-NL6630D-NL23HBF-NL23HBF; GLO-NL7230D-NL23HBF-NL23HBF,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,desk-single-pedestal,Desk Single Pedestal,3,Size,GLO-NL6030D-NL23BF,GLO-NL6030D-NL23BF; GLO-NL6630D-NL23BF; GLO-NL7230D-NL23BF,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,aktivity-rectangle-height-adjustable-table,Aktivity Rectangle Height Adjustable Table,3,Size,MTY-IS-AT2424,MTY-IS-AT2424; -2; -3,Mity-Lite,https://www.mitylite.com/,,,,
D,0,active,casters-2-5-set-1,"Casters - 2"" 5 / Set",1,,GLBC65SET,GLBC65SET,Global Casegoods,https://www.globalfurnituregroup.com/,,,,
D,0,active,electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,Electric Dual Monitor Height Adjustable Standing Desk Workstation DC450,1,,VCT00450,VCT00450,Victor Technology,https://www.victortech.com/,,,,
D,0,active,file-buddy-swivel-stool-black-vinyl,File Buddy Swivel Stool Black Vinyl,2,Height Options,GLB MVL1105,GLB MVL1105; GLB MVL1110,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,offices-to-go-ionic-table-36-x-36-x-29-material-metal-base-finish-absolute-acajou-black-base-sandtex-1,"Offices To Go Ionic Table - 36"" x 36"" x 29"" - Material: Metal Base - Finish: Absolute Acajou, Black Base, Sandtex",1,,GLBML36RXACJ,GLBML36RXACJ,Global (ML line),https://www.globalfurnituregroup.com/,,,,
D,0,active,zira-conference-table-9-sizes,Zira Conference Table - 9 Sizes,27,Size Options; Edge Detail,GLO-Z4896BE,GLO-Z4896BE; GLO-Z48120BE; GLO-Z48144BE; GLO-Z48168BE; GLO-Z48192BE; GLO-Z48216BE; GLO-Z48240BE; GLO-Z48264BE; GLO-Z48288BE,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
D,0,active,workstation-96-x-50-x-29-4-person-station,"Workstation - 96"" x 50"" x 29"" (4 Person Station)",1,,GLBMLP496ASN,GLBMLP496ASN,Global (ML line),https://www.globalfurnituregroup.com/,,,,
D,0,active,chair-dolly-duet-chairs,Chair Dolly (Duet Chairs),1,,GLB6624,GLB6624,Global Furniture Group,https://www.globalfurnituregroup.com/,,,,
