Handle,Title,Type,Status,Tier,Revenue,Units,MissingCount,PriorityScore,MissingFields
ergo-boss-high-back-multi-tilter-chair-1,Ergo Boss™ High Back Multi-Tilter Chair,Furniture > Office Furniture > Office Chairs,active,A,3479.96,4,19,76,Type; Body; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
l-shape-desk-8-sizes-9-colour-options-1,L-Shape Desk (8 Sizes & 9 Colour options),Furniture > Office Furniture > Desks,active,A,16900.86,16,18,72,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,Furniture > Tables > Kitchen & Dining Room Tables,active,A,9795.95,5,18,72,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
u-shape-height-adjust-desk,U-Shape Height Adjust Desk,Furniture > Office Furniture > Desks,active,A,9119.98,4,18,72,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)",Uncategorized,active,A,8879.93,7,18,72,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
obusforme-comfort-high-back-chair-fabric-1240-3,ObusForme Comfort High back Chair 1240-3,Uncategorized,active,A,8527.87,13,18,72,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
loop-leg-table,LOOP Leg Table,Furniture > Tables > Kitchen & Dining Room Tables,active,A,5099.87,13,18,72,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
ibex-mesh-seat-back-multi-tilter-1,Ibex | Mesh Seat & Back Multi-Tilter,Uncategorized,active,A,3119.94,6,18,72,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
l-shape-desk-hutch,L-Shape Desk & Hutch,Furniture > Office Furniture > Desks,active,A,14479.91,9,17,68,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
l-shape-height-adjustable-desk-set,L-Shape Height Adjustable Desk Set,Furniture > Office Furniture > Desks,active,A,5198.0,2,17,68,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
executive-u-shape-desk-set,Executive U-Shape Desk Set,Furniture > Office Furniture > Desks,active,A,3799.98,2,17,68,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
sidero-guest-chair-28-colour-options,Sidero Guest Chair 28 Colour Options,Furniture > Office Furniture > Office Chairs,active,A,3779.86,14,17,68,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
roma-1900-nesting-chair,Roma 1900 Nesting Chair,Furniture > Office Furniture > Office Chairs,active,A,5399.88,12,16,64,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
overtime-high-back-multi-tilter-chair-mvl2756,Overtime | High Back Multi-Tilter Chair MVL2756,Furniture > Office Furniture > Office Chairs,active,A,5299.87,13,16,64,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
ibex-upholstered-seat-mesh-back-multi-tilter-1,Ibex | Upholstered Seat & Mesh Back Multi-Tilter MVL2803,Furniture > Office Furniture > Office Chairs,active,A,4869.89,11,16,64,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
mvl11886-caman-high-back-tilter-bonded-leather,MVL11886 Caman | High Back Tilter Bonded Leather,Furniture > Office Furniture > Office Chairs,active,A,3899.87,13,16,64,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
ashmont-medium-back-guest-chair-mvl2782,Ashmont | Medium Back Guest Chair MVL2782,Furniture > Office Furniture > Office Chairs,active,A,3839.88,12,16,64,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,Furniture > Office Furniture > Workstations & Cubicles,active,A,3399.98,2,16,64,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
height-adjustable-table-5-sizes,Electric Height Adjustable Sit to Stand Desks,Furniture > Office Furniture > Workspace Tables,active,A,10299.87,13,15,60,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
training-flip-top-tables-1,Training Flip Top Tables,Furniture > Office Furniture > Workspace Tables,active,A,9289.79,21,15,60,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
premium-height-adjustable-table-1,Premium Height Adjustable Table,Furniture > Office Furniture > Workspace Tables,active,A,4899.96,4,15,60,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
square-table-x-base-3-sizes,Square Table - X-Base 3 Sizes,Furniture > Office Furniture > Workspace Tables,active,A,3499.9,10,15,60,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
d-top-table,D-Top Table With or Without Modesty,Furniture > Office Furniture > Desks,active,B,1999.96,4,20,60,Type; SEOTitle; SEODescription; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
innovation-l-shape-curved-corner,Innovation L-Shape Curved Corner,Furniture > Office Furniture > Desks,active,B,2399.98,2,19,57,Type; Body; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
credenza-scmsu,Credenza SCMSU,Uncategorized,active,B,2399.98,2,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
chair-black-steel-frame-2,Chair Black Steel Frame,Uncategorized,active,B,2322.0,14,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
u-shape-desk-nlp205,U-Shape Desk NLP205,Furniture > Office Furniture > Desks,active,B,2099.99,1,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
raven-high-back-heavy-duty-synchro-tilter-chair-otg10703b,Raven High Back Heavy Duty Synchro-Tilter Chair OTG10703B,Furniture > Office Furniture > Office Chairs,active,B,1949.97,4,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
overtime-350-high-back-heavy-duty-multi-tilter,Overtime 350 | High Back Heavy Duty Multi-Tilter,Uncategorized,active,B,1788.0,3,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
innovations-double-pedestal-desk-bf-bf-5-sizes-8-colours,"INNOVATIONS Double Pedestal Desk bf/bf 5 Sizes, 8 Colours",Furniture > Office Furniture > Desks,active,B,1719.98,2,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
l-shape-reception-72-x-72-x-41-1,"L-Shape Reception - 72"" x 72"" x 41""",Business & Industrial > Hotel & Hospitality > Hotel Supplies > Reception Desks & Counters,active,B,1599.99,1,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
2600-series-4-drawer-vertical-file-legal-26-451,"2600 Series 4 Drawer Vertical File, Legal (26-451)",Furniture > Cabinets & Storage > File Cabinets,active,B,1484.97,3,18,54,Type; SEOTitle; SEODescription; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
newland-box-file-mobile-pedestal,Newland Box/File Mobile Pedestal NLMP23BF,Uncategorized,active,B,1336.85,3,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
l-shape-desk-3-sizes-13-colours,"""L"" Shape Desk 6 Sizes 13 colours",Uncategorized,active,B,1249.99,1,18,54,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
l-shape-loop-leg-desk,L-Shape Loop Leg Desk,Furniture > Office Furniture > Desks,active,B,1199.99,1,18,54,Type; Body; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
vion-mesh-high-back-chair-1,VION Mesh High Back Chair,Furniture > Office Furniture > Office Chairs,active,B,2716.0,4,17,51,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
wood-laminate-storage-cabinets,Wood Laminate Storage cabinets,Furniture > Cabinets & Storage > Storage Cabinets & Lockers,active,B,2399.98,2,17,51,Type; Body; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
desk-single-pedestal-bbf,Desk Single Pedestal BBF,Furniture > Office Furniture > Desks,active,B,2219.97,3,17,51,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
pneumatic-height-adjustable-table,Pneumatic Height Adjustable Table,Furniture > Office Furniture > Workspace Tables > Conference Room Tables,active,B,3079.96,4,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
format-high-mesh-back-synchro-tilter,Format | High Mesh Back Synchro-Tilter,Furniture > Office Furniture > Office Chairs,active,B,2399.94,6,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
chevron-ultra-high-back-multi-tilter-chair-high-back-bao11203-1,Chevron Ultra High Back Multi-Tilter Chair - High Back BAO11203,Furniture > Office Furniture > Office Chairs,active,B,2369.96,4,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
bar-leaner-1-span-collaborative,Bar Leaner 1-Span Collaborative,Furniture > Office Furniture > Workspace Tables,active,B,2321.99,3,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
ultra-high-back-tilter-with-arms-mvl11730,Ultra | High Back Tilter with Arms MVL11730,Furniture > Office Furniture > Office Chairs,active,B,2249.95,5,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
otg13026-safari-medium-mesh-back-tilter-chair,OTG13026 Safari | Medium Mesh Back Tilter Chair,Furniture > Office Furniture > Office Chairs,active,B,2249.91,9,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
ashton-high-back-tilter,Ashton | High Back Tilter,Furniture > Office Furniture > Office Chairs,active,B,2214.0,6,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
willow-bariatric-chair,Willow Bariatric Chair,Business & Industrial > Medical > Medical Furniture > Examination Chairs & Tables,active,B,2100.0,4,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
overtime-350-high-back-heavy-duty-multi-tilter-mvl13040,Overtime 350 | High Back Heavy Duty Multi-Tilter MVL13040,Furniture > Office Furniture > Office Chairs,active,B,2099.97,3,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
brighton-high-back-tilter-mvl2787,Brighton | High Back Tilter MVL2787,Furniture > Office Furniture > Office Chairs,active,B,1798.68,4,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475,Robust High Back Multi-Tilter Chair 500lb Weight Capacity GLB74475,Furniture > Office Furniture > Office Chairs,active,B,1699.99,1,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
six-31-medium-back-multi-tilter-glbotg11631b,Six 31 | Medium Back Multi-Tilter  GLBOTG11631B,Furniture > Office Furniture > Office Chairs,active,B,1619.77,5,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
citi-lounge-seating-3-sizes-available,Lounge Seating (3 sizes available),"Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs > Armchairs",active,B,1569.99,1,16,48,Type; SEOTitle; SEODescription; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Seat structure; mf:Back type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
multi-storage-cabinet-93365msl,Multi-Storage Cabinet 93365MSL,Furniture > Cabinets & Storage > Storage Cabinets & Lockers,active,B,1299.99,1,16,48,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
outdoor-steel-bench,Outdoor Steel Bench,Furniture > Outdoor Furniture > Outdoor Seating > Outdoor Benches,active,B,2900.0,2,15,45,Type; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
sirena-lounge-chair-3371,Sirena Lounge Chair,"Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs > Armchairs",active,B,1653.98,2,14,42,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Seat structure; mf:Back type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
folding-chair-plastic-4-pack,Folding Chair-Plastic 4/Pack,Furniture > Chairs > Folding Chairs & Stools > Folding Chairs,active,B,1449.95,5,14,42,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Seat structure; mf:Back type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
round-table-42,"Round Table 42""",Furniture > Tables > Kitchen & Dining Room Tables,active,C,898.0,2,21,42,Type; Body; SEOTitle; SEODescription; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
tritek-7472-3-chair,Tritek 7472-3 Chair,Furniture > Office Furniture > Office Chairs,active,C,849.99,1,19,38,Type; Body; SEOTitle; SEODescription; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
2-seater-couch,2 Seater Couch,Furniture > Sofas > Loveseat Sofas,archived,C,699.99,1,19,38,Type; Tags; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
large-fire-water-safe-13-x-16-x-19-black-2,"Large Fire/Water Safe 13"" x 16"" x 19"" - Black",,active,C,369.89,1,19,38,Type; Category; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
mvl2786-yoho-armless-low-back-task-chair,MVL2786 Yoho | Armless Low Back Task Chair,Furniture > Office Furniture > Office Chairs,active,C,239.99,1,19,38,Type; SEOTitle; SEODescription; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
anti-fatigue-wellness-mat-36-x-24-5,"Anti-Fatigue Wellness Mat  36"" x 24""",,active,C,88.99,1,19,38,Type; Category; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
pedestal-box-box-file-with-or-without-wheels,Pedestal - Box/Box/File (With or without wheels),Uncategorized,active,C,1149.97,3,18,36,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
lounge-seating-3-sizes-suburb,Lounge Seating 3 sizes Suburb,Furniture > Sofas > Sectional Sofas,active,C,1037.98,2,18,36,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
round-table-42-high-bar-height,"Round Table 42"" High Bar Height",Uncategorized,active,C,989.97,3,18,36,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
upscale-table-1,UPSCALE Table,Furniture > Tables > Kitchen & Dining Room Tables,active,C,869.99,1,18,36,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
