Handle,Title,Type,Status,Tier,Revenue,Units,MissingCount,PriorityScore,MissingFields
quick-assembly-height-adjustable-base,Quick Assembly Height Adjustable Base,Furniture > Office Furniture Accessories > Workstation & Cubicle Accessories,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
power-plant-500222pp90-daisychaining,Power Plant 500222PP90 Daisychaining,Electronics > Electronics Accessories > Power > Power Stations,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
innovations-u-shape-suite,Innovations U-Shape Suite,Furniture > Office Furniture > Desks,active,D,0,0,17,17,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
mobile-pedestal-file-file,Mobile Pedestal File / File,Furniture > Cabinets & Storage > File Cabinets,active,D,0,0,17,17,Type; Body; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
ceiling-grids-sound-acoustic-dampeners-orb,Ceiling Grids Sound Acoustic Dampeners ORB,Hardware > Building Materials > Sound Dampening Panels & Foam > Acoustic Panels,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
ceiling-grids-sound-acoustic-dampeners-copy,Ceiling Grids Sound Acoustic Dampeners,Hardware > Building Materials > Sound Dampening Panels & Foam > Acoustic Panels,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
ceiling-grids-sound-acoustic-dampeners-1,Ceiling Grids Sound Acoustic Dampeners,Hardware > Building Materials > Sound Dampening Panels & Foam > Acoustic Panels,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
laminate-lockers-copy,Laminate Lockers,Furniture > Cabinets & Storage > Storage Cabinets & Lockers,active,D,0,0,17,17,Type; Body; mf:Material; mf:Style; mf:Suitable location; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
halifax-typical-4,Halifax Typical 4,Furniture > Office Furniture > Desks,active,D,0,0,17,17,Type; mf:Color; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation
halifax-executive-suite,Halifax Executive Suite,Furniture > Office Furniture > Office Furniture Sets,active,D,0,0,17,17,Type; mf:Material; mf:Style; mf:Suitable location; mf:Furniture/Fixture material; mf:Upholstery material; mf:Seat type; mf:Seat structure; mf:Back type; mf:Backrest type; mf:Chair features; mf:Frame design; mf:Wood finish; mf:Tabletop color; mf:Leg color; mf:Sound insulation; mf:Furniture/Fixture features
