source_file,line_number,target_url,link_type,classification,shopify_status,redirect_target_if_any,recommended_action,context
theme/sections/ds-lp-brands.liquid,185,/collections/business-furniture,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""bbi-btn bbi-btn--secondary bbi-btn--lg"" href=""/collections/business-furniture"">"
theme/sections/ds-pdp-base.liquid,417,/collections/business-furniture,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/business-furniture"">Shop Furniture</a>"
theme/sections/ds-system-404.liquid,168,/collections/business-furniture,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/business-furniture"" class=""s404-btn s404-btn--outline"">Browse All Furniture</a"
theme/templates/collection.seating.json,42,/collections/conference-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/conference-seating"","
theme/templates/collection.storage.json,58,/collections/credenzas,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/credenzas"","
theme/templates/collection.business-furniture.json,18,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/desks"","
theme/templates/page.oecm.json,62,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"""url"": ""/collections/desks"","
theme/sections/ds-lp-brands-global-teknion.liquid,154,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""bbi-btn bbi-btn--secondary bbi-btn--lg"" href=""/collections/desks"">"
theme/sections/ds-lp-brands-global-teknion.liquid,219,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/desks"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-education.liquid,438,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/desks"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-government.liquid,428,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/desks"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-healthcare.liquid,497,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/desks"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-industries.liquid,826,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""lp-cat-card"" href=""/collections/desks"">"
theme/sections/ds-lp-non-profit.liquid,441,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/desks"" class=""lp-crosslinks__tile"">"
theme/sections/ds-lp-oecm.liquid,777,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"""url"": ""/collections/desks"","
theme/sections/ds-lp-professional-services.liquid,433,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/desks"" class=""lp-crosslinks__tile"">"
theme/sections/ds-system-404.liquid,142,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/desks"" class=""s404-tile"">"
theme/snippets/bbi-footer.liquid,180,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/desks"">Desks &amp; Workstations</a></li>"
theme/snippets/bbi-nav.liquid,510,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<li role=""none""><a class=""bbi-nav__dd-link"" href=""/collections/desks"" role=""menuitem"">Desks &amp; Wo"
theme/snippets/bbi-nav.liquid,713,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/desks"">Desks &amp; Workstations</a></li>"
theme/snippets/ds-browse-faq.liquid,178,/collections/desks,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""ds-bf-cat-card"" href=""/collections/desks"">"
theme/templates/collection.ergonomic-products.json,10,/collections/desktop-sit-stand,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/desktop-sit-stand"","
theme/templates/collection.ergonomic-products.json,34,/collections/ergonomic-accessories,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/ergonomic-accessories"","
theme/templates/collection.business-furniture.json,50,/collections/ergonomic-products,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/ergonomic-products"","
theme/sections/ds-lp-industries.liquid,846,/collections/ergonomic-products,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""lp-cat-card"" href=""/collections/ergonomic-products"">"
theme/snippets/bbi-footer.liquid,184,/collections/ergonomic-products,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/ergonomic-products"">Ergonomic Products</a></li>"
theme/snippets/bbi-nav.liquid,514,/collections/ergonomic-products,collection,HEALTHY,EXISTS | published=True,,None,"<li role=""none""><a class=""bbi-nav__dd-link"" href=""/collections/ergonomic-products"" role=""menuitem"">E"
theme/snippets/bbi-nav.liquid,717,/collections/ergonomic-products,collection,HEALTHY,EXISTS | published=True,,None,"<li><a href=""/collections/ergonomic-products"">Ergonomic Products</a></li>"
theme/snippets/ds-browse-faq.liquid,198,/collections/ergonomic-products,collection,HEALTHY,EXISTS | published=True,,None,"<a class=""ds-bf-cat-card"" href=""/collections/ergonomic-products"">"
theme/templates/collection.seating.json,18,/collections/executive-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/executive-seating"","
theme/templates/collection.quiet-spaces.json,26,/collections/focus-rooms,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/focus-rooms"","
theme/templates/collection.boardroom.json,67,/collections/global-teknion,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/global-teknion"","
theme/templates/collection.business-furniture.json,83,/collections/global-teknion,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/global-teknion"","
theme/templates/collection.desks.json,75,/collections/global-teknion,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/global-teknion"","
theme/templates/collection.panels-room-dividers.json,35,/collections/global-teknion,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/global-teknion"","
theme/templates/collection.seating.json,90,/collections/global-teknion,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/global-teknion"","
theme/templates/collection.storage.json,139,/collections/global-teknion,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/global-teknion"","
theme/templates/collection.tables.json,83,/collections/global-teknion,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/global-teknion"","
theme/templates/collection.seating.json,26,/collections/guest-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/guest-seating"","
theme/templates/collection.seating.json,74,/collections/healthcare-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/healthcare-seating"","
theme/templates/collection.tables.json,26,/collections/height-adjustable-tables,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/height-adjustable-tables"","
theme/templates/collection.desks.json,10,/collections/height-adjustable-tables-desks,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/height-adjustable-tables-desks"","
theme/templates/collection.storage.json,98,/collections/high-density-storage,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/high-density-storage"","
theme/templates/collection.quiet-spaces.json,34,/collections/highback-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/highback-seating"","
theme/templates/collection.ergonomic-products.json,26,/collections/keyboard-trays,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/keyboard-trays"","
theme/templates/collection.desks.json,18,/collections/l-shape-desks,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/l-shape-desks"","
theme/templates/collection.storage.json,10,/collections/lateral-file-cabinets-storage,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/lateral-file-cabinets-storage"","
theme/templates/collection.accessories.json,10,/collections/lighting,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/lighting"","
theme/templates/collection.storage.json,50,/collections/lockers,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/lockers"","
theme/sections/ds-lp-brands-keilhauer.liquid,247,/collections/lounge-chairs-seating,collection,HEALTHY,EXISTS | published=True,,None,"<a href=""/collections/lounge-chairs-seating"" class=""lp-crosslinks__tile"">"
theme/templates/collection.seating.json,34,/collections/lounge-seating,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/lounge-seating"","
theme/templates/collection.boardroom.json,10,/collections/meeting-conference-room-tables,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/meeting-conference-room-tables"","
theme/templates/collection.tables.json,10,/collections/meeting-conference-room-tables,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/meeting-conference-room-tables"","
theme/templates/collection.tables.json,42,/collections/meeting-tables,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/meeting-tables"","
theme/templates/collection.storage.json,26,/collections/mobile-pedestals,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/mobile-pedestals"","
theme/templates/collection.storage.json,74,/collections/mobile-storage,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/mobile-storage"","
theme/templates/collection.desks.json,50,/collections/modular-workstations,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/modular-workstations"","
theme/templates/collection.ergonomic-products.json,18,/collections/monitor-arms,collection,HEALTHY,EXISTS | published=True,,None,"""link"": ""/collections/monitor-arms"","
