"SECTION","title","handle","type","routable","products_count","add_method","add_instruction","non_routable_reasons"
"SUB_COLLECTIONS","Accessories","type-accessories","smart","N","22","tag-write","write tag: type:accessories","aggregator,non-canonical-duplicate"
"SUB_COLLECTIONS","Acoustic Panels","acoustic-panels","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Acoustic Pods","acoustic-pods","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Acoustic Solutions","acoustic-solutions","smart","N","7","complex","rule_cols=['title'] disj=True","unroutable-complex"
"SUB_COLLECTIONS","Active Seating","active-seating","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","All Accessories","all-accessories","smart","N","22","tag-write","write tag: type:accessories","aggregator"
"SUB_COLLECTIONS","All Boardroom & Conference","all-boardroom","smart","N","25","tag-write","write tag: room:boardroom","aggregator"
"SUB_COLLECTIONS","All Business Furniture","all-business-furniture","smart","N","258","tag-write","write tag: type:chairs","aggregator"
"SUB_COLLECTIONS","All Desks & Workstations","all-desks","smart","N","42","tag-write","write tag: type:desks","aggregator"
"SUB_COLLECTIONS","All Ergonomic Products","all-ergonomic","smart","N","16","tag-write","write tag: type:ergonomic","aggregator"
"SUB_COLLECTIONS","All Panels & Dividers","all-panels","smart","N","16","tag-write","write tag: type:panels","aggregator"
"SUB_COLLECTIONS","All Quiet Spaces","all-quiet-spaces","smart","N","9","tag-write","write tag: type:quiet-spaces","aggregator"
"SUB_COLLECTIONS","All Seating","all-seating","smart","N","121","tag-write","write tag: type:chairs","aggregator"
"SUB_COLLECTIONS","All Storage & Filing","all-storage","smart","N","32","tag-write","write tag: type:storage","aggregator"
"SUB_COLLECTIONS","All Tables","all-tables","smart","N","39","tag-write","write tag: type:tables","aggregator"
"SUB_COLLECTIONS","Beam Seating","beam-seating","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Bench Seating","bench-seating","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Boardroom","room-boardroom","smart","N","25","tag-write","write tag: room:boardroom","non-canonical-duplicate"
"SUB_COLLECTIONS","Boardroom / Conference / Meeting","boardroom-conference-meeting-1","custom","N","12","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Boardroom Seating","boardroom-seating","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Boardroom Storage","boardroom-storage","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Business Furniture","business-furniture","smart","N","645","complex","rule_cols=['tag'] disj=False","unroutable-complex"
"SUB_COLLECTIONS","Buy Canadian","buy-canadian","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Chairs","type-chairs","smart","N","121","tag-write","write tag: type:chairs","aggregator"
"SUB_COLLECTIONS","Chairs","chairs","custom","N","4","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Conference Seating","conference-seating","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Desks","type-desks","smart","N","42","tag-write","write tag: type:desks","aggregator"
"SUB_COLLECTIONS","Ergonomic Accessories","ergonomic-accessories","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Ergonomic Products","ergonomic-products","smart","N","16","complex","rule_cols=['title'] disj=True","unroutable-complex"
"SUB_COLLECTIONS","Executive Seating","executive-seating","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Fees products","fees-products","smart","N","656","complex","rule_cols=['type'] disj=False","unroutable-complex"
"SUB_COLLECTIONS","Focus Room Furniture","focus-rooms","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Folding Chair","folding-chair-chair","custom","N","8","collects-post","POST /collects","suspicious-handle"
"SUB_COLLECTIONS","Healthcare Seating","healthcare-seating","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Height Adjustable Tables","height-adjustable-tables-1","custom","N","18","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","High-Density Storage","high-density-storage","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Home page","home-page","custom","N","8","collects-post","POST /collects","non-routable-handle"
"SUB_COLLECTIONS","Keilhauer","keilhauer","smart","N","0","tag-write","write tag: brand:keilhauer","empty"
"SUB_COLLECTIONS","L-Shape Desks","l-shape-desks-desks","custom","N","31","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","L-Shape Desks","l-shape-desks-1","custom","N","30","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Lighting","lighting-1","custom","N","4","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Lounge","room-lounge","smart","N","6","tag-write","write tag: room:lounge","non-canonical-duplicate"
"SUB_COLLECTIONS","Lounge Seating","type-lounge","smart","N","6","tag-write","write tag: type:lounge","aggregator"
"SUB_COLLECTIONS","Lounge Seating","lounge-seating","custom","N","2","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Mandatory Fees","mandatory-fees","smart","N","1","complex","rule_cols=['type'] disj=False","unroutable-complex"
"SUB_COLLECTIONS","Mobile Storage Carts","mobile-storage","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Modular Workstations","modular-workstations","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Multi Person Workstations","multi-person-workstations-1","custom","N","8","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Nesting Chairs (Chair)","nesting-chairs-chair","custom","N","5","collects-post","POST /collects","suspicious-handle"
"SUB_COLLECTIONS","Outdoor","type-outdoor","smart","N","4","tag-write","write tag: type:outdoor","aggregator"
"SUB_COLLECTIONS","Panels & Room Dividers","panels-room-dividers","smart","N","16","complex","rule_cols=['title'] disj=True","unroutable-complex"
"SUB_COLLECTIONS","Pedestal Drawers","pedestal-drawers-1","custom","N","7","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Personal Storage","personal-storage","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Podiums & AV Furniture","podiums-av-furniture","smart","N","6","complex","rule_cols=['title'] disj=True","unroutable-complex"
"SUB_COLLECTIONS","Privacy Screens","privacy-screens","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Products","products","smart","N","651","complex","rule_cols=['type'] disj=False","unroutable-complex"
"SUB_COLLECTIONS","Reception","reception","custom","N","3","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Room Accessories","room-accessories","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Side / Coffee Table (Tables)","side-coffee-table-tables","custom","N","6","collects-post","POST /collects","suspicious-handle"
"SUB_COLLECTIONS","Stacking Chairs (Chair)","stacking-chairs-chair","custom","N","18","collects-post","POST /collects","suspicious-handle"
"SUB_COLLECTIONS","Standing & High Tables","standing-tables","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","Storage","type-storage","smart","N","32","tag-write","write tag: type:storage","aggregator"
"SUB_COLLECTIONS","Straight Desks","straight-desks","custom","N","12","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Table Desks","table-desks-1","custom","N","6","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Tables","type-tables","smart","N","39","tag-write","write tag: type:tables","aggregator,non-canonical-duplicate"
"SUB_COLLECTIONS","Training Room Desks","training-desks","custom","N","0","collects-post","POST /collects","empty"
"SUB_COLLECTIONS","U-Shape Desks","u-shape-desks","custom","N","15","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","U-Shape Desks","u-shape-desks-1","custom","N","15","collects-post","POST /collects","non-canonical-duplicate"
"SUB_COLLECTIONS","Wall-Mounted Storage","wall-storage","custom","N","0","collects-post","POST /collects","empty"

"BRANDS","OTG / Offices to Go","","","Y","75","","",""
"BRANDS","Global Furniture Group","","","Y","74","","",""
"BRANDS","Brant Business Interiors","","","Y","35","","",""
"BRANDS","Heartwood Manufacturing Ltd.","","","Y","28","","",""
"BRANDS","Fellowes","","","Y","8","","",""
"BRANDS","ObusForme","","","Y","6","","",""
"BRANDS","Office Star","","","Y","5","","",""
"BRANDS","Horizon","","","Y","5","","",""
"BRANDS","Deflecto","","","Y","3","","",""
"BRANDS","Office Central & Brant Business Interiors","","","Y","2","","",""
"BRANDS","Axis","","","Y","1","","",""
"BRANDS","MergeWorks","","","Y","1","","",""
"BRANDS","Victor Technology LLC","","","Y","1","","",""
"BRANDS","FireKing","","","Y","1","","",""
"BRANDS","Foundations Worldwide","","","Y","1","","",""
"BRANDS","Tayco","","","Y","1","","",""
"BRANDS","HDL","","","Y","1","","",""
"BRANDS","Uline","","","Y","1","","",""
"BRANDS","Pineapple Contracts","","","Y","1","","",""
"BRANDS","Kensington","","","Y","1","","",""
"BRANDS","MityBilt Products Inc.","","","Y","1","","",""
"BRANDS","Produits Re-Plast","","","Y","1","","",""
"BRANDS","Frost Products Ltd.","","","Y","1","","",""
"BRANDS","ergoCentric","","","Y","1","","",""
"BRANDS","Sentry Safe","","","Y","1","","",""
"BRANDS","Rocelco","","","Y","1","","",""
"BRANDS","Lesro Industries","","","Y","1","","",""
