keyword,volume,ncomp,score,comps,bbi_pos
2nd hand office chair,590,2,1180,"atwork,theofficeshop",absent
used office desk and chair,590,2,1180,"atwork,theofficeshop",absent
office stock,1000,1,1000,theofficeshop,absent
lacasse,1000,1,1000,theofficeshop,absent
desk chair white,1000,1,1000,atwork,absent
desk chairs leather,1000,1,1000,atwork,absent
gardex,1000,1,1000,atwork,absent
2 drawer filing cabinet,1000,1,1000,sourceofficefurniture,absent
comfort chairs for office,1000,1,1000,sourceofficefurniture,absent
source furniture,1000,1,1000,sourceofficefurniture,absent
source office furniture edmonton,1000,1,1000,sourceofficefurniture,absent
source canada,1000,1,1000,sourceofficefurniture,absent
g and l furniture,1000,1,1000,grandandtoy,absent
filing cabinet lockable,1000,1,1000,staples,absent
office chair rug mat,1000,1,1000,staples,absent
staples gaming chair,1000,1,1000,staples,absent
dirtt,880,1,880,poi,absent
2nd hand office furniture,880,1,880,theofficeshop,absent
lovers at work,880,1,880,atwork,absent
lovers office furniture,880,1,880,atwork,absent
gremlins bicycle emporium,880,1,880,atwork,absent
l shaped office desk,880,1,880,sourceofficefurniture,absent
source office furniture calgary,880,1,880,sourceofficefurniture,absent
desktop organizer,880,1,880,grandandtoy,absent
desk chair that reclines,880,1,880,staples,absent
executive office chair,880,1,880,staples,absent
office chair that reclines,880,1,880,staples,absent
portable projector screen,880,1,880,staples,absent
staples tablets,880,1,880,staples,absent
tablet with keyboard,880,1,880,staples,absent
newmarket office furniture,390,2,780,"atwork,theofficeshop",absent
kingsett,720,1,720,poi,absent
40 king st w,720,1,720,poi,absent
amia,720,1,720,poi,absent
global contract,720,1,720,theofficeshop,absent
global contract canada,720,1,720,theofficeshop,absent
krug inc,720,1,720,theofficeshop,absent
humanscale chair,720,1,720,theofficeshop,absent
second hand office furniture near me,720,1,720,theofficeshop,absent
furniture store in markham ontario,720,1,720,theofficeshop,absent
office pod,720,1,720,atwork,absent
office desks canada,720,1,720,sourceofficefurniture,absent
source office furniture brampton,720,1,720,sourceofficefurniture,absent
executive chair,720,1,720,sourceofficefurniture,absent
office chairs calgary,720,1,720,sourceofficefurniture,absent
office furniture store near me,320,2,640,"atwork,sourceofficefurniture",absent
roserock place,590,1,590,poi,absent
steelcase series 1,590,1,590,poi,absent
steelcase gesture office chair,590,1,590,poi,absent
office furniture shop,590,1,590,theofficeshop,absent
globalcontract,590,1,590,theofficeshop,absent
at work office furniture,590,1,590,atwork,absent
office couch,590,1,590,atwork,absent
office chairs edmonton,590,1,590,sourceofficefurniture,absent
source office furniture markham,590,1,590,sourceofficefurniture,absent
task chair,590,1,590,sourceofficefurniture,absent
office furniture edmonton,590,1,590,sourceofficefurniture,absent
office depot canada,590,1,590,grandandtoy,absent
logitech mx vertical ergonomic mouse,590,1,590,grandandtoy,absent
printer table,590,1,590,grandandtoy,absent
steelcase leap v2 canada,260,2,520,"atwork,poi",absent
audio visual technology,480,1,480,poi,absent
surgically clean air,480,1,480,poi,absent
global total office,480,1,480,theofficeshop,absent
office furniture toronto,480,1,480,theofficeshop,absent
iof furniture,480,1,480,theofficeshop,absent
used office furniture toronto,480,1,480,theofficeshop,absent
corner desk with storage,480,1,480,atwork,absent
desk chairs big and tall,480,1,480,atwork,absent
big and tall office chairs,480,1,480,sourceofficefurniture,absent
desk chairs vancouver,480,1,480,sourceofficefurniture,absent
office chairs vancouver,480,1,480,sourceofficefurniture,absent
office chairs vancouver bc,480,1,480,sourceofficefurniture,absent
office dividers,480,1,480,sourceofficefurniture,absent
source furniture vancouver,480,1,480,sourceofficefurniture,absent
source office furniture vancouver,480,1,480,sourceofficefurniture,absent
office organizer,480,1,480,grandandtoy,absent
grand furniture,480,1,480,grandandtoy,absent
grand's furniture,480,1,480,grandandtoy,absent
the office shop,390,1,390,theofficeshop,absent
hon ignition 2,390,1,390,atwork,absent
ignition 2.0 hon,390,1,390,atwork,absent
