slide,slug,filename,shopify_file_id,cdn_url,shop_images_uri,alt,status,size_kb
1,office,hp-hero-slide-1-office.jpg,gid://shopify/MediaImage/45096387739961,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/hp-hero-slide-1-office.jpg?v=1779765474,shopify://shop_images/hp-hero-slide-1-office.jpg,Modern Canadian office workspace with collaborative desks and ergonomic seating,READY,318.2
2,healthcare,hp-hero-slide-2-healthcare.jpg,gid://shopify/MediaImage/45096388067641,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/hp-hero-slide-2-healthcare.jpg?v=1779765478,shopify://shop_images/hp-hero-slide-2-healthcare.jpg,Healthcare waiting area with AODA-compliant seating and clinical layout,READY,284.0
3,education,hp-hero-slide-3-education.jpg,gid://shopify/MediaImage/45096388198713,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/hp-hero-slide-3-education.jpg?v=1779765483,shopify://shop_images/hp-hero-slide-3-education.jpg,Educational classroom with flexible furniture for collaborative learning,READY,350.7
